Rank,Player,GAMES,INNS,NOT OUTS,RUNS,HIGH SCORE,AVG,50s,100s,STRIKE RATE
1,Peter Horton,452,423,67,13440,154,37.75,84,17,55.9
2,Andrew Homewood,388,365,64,9705,141,32.24,51,11,73.96
3,Grahame Cox,255,237,40,6870,178,34.87,37,7,62.64
4,Toby Blood,313,258,54,6476,237,31.75,29,11,100.77
5,Charlie Kenway,255,228,25,5241,173,25.82,25,9,99.11
6,Nick Lee,110,110,19,5226,211,57.43,32,13,83.59
7,Francis Chadwick,288,234,49,4753,123,25.69,16,7,67.57
8,Scott Kelsey,290,247,34,4681,119,21.98,21,4,79.74
9,Ben Overton,232,211,13,4428,132,22.36,22,4,91.6
10,Ben Rogers,240,212,36,4388,116,24.93,20,6,65.48
11,Matthew Homewood,247,233,6,4335,153,19.1,11,4,71.92
12,Tom Chisman,296,264,29,4288,124,18.25,14,2,45.01
13,Chris Ward,289,220,53,4182,107,25.04,22,3,74.95
14,David Spackman,261,248,7,4113,90,17.07,18,0,45.51
15,Andrew Halliday,285,234,32,3409,97,16.88,9,0,74.2
16,Steve Quinn,314,257,52,3230,85,15.76,10,0,58.78
17,Tim Johnson,149,139,4,3207,207,23.76,13,4,97.37
18,Rob Chave,133,128,5,3181,130,25.86,19,2,72.5
19,Lewis Davies,159,148,18,3053,128,23.48,10,1,82.47
20,Bradley Erasmus,39,39,6,2314,152,70.12,5,13,86.46
21,Tim Brewster,150,122,25,2237,122,23.06,10,1,55.62
22,Frederick Edwards,186,143,28,2153,118,18.72,7,1,43.99
23,Tom Graham,124,116,20,2069,118,21.55,10,1,86.48
24,Matt Buzzacott,65,59,15,2022,137,45.95,14,1,95.71
25,Gareth Overton,94,90,9,1959,91,24.19,8,0,47.41
26,Dom Kenway,207,138,35,1823,90,17.7,7,0,88.32
27,John Gale,89,81,12,1769,158,25.64,7,3,67.44
28,David Ellins,132,124,15,1736,83,15.93,5,0,43.97
29,Charlie Edwards,160,124,30,1733,89,18.44,8,0,47.95
30,Graham Dymond,103,99,11,1641,137,18.65,6,1,55.37
31,Aaron Buller,63,58,11,1582,141,33.66,8,1,78.74
32,Chris Thurgood,56,53,3,1561,112,31.22,9,2,72.62
33,Jason Swift,50,43,8,1481,119,42.31,9,4,88.25
34,Max Ridler,225,149,30,1448,85,12.17,2,0,79.18
35,George Edwards,181,130,26,1289,89,12.39,2,0,66.06
36,Michael Cox,88,74,8,1252,86,18.97,5,0,74.02
37,Ian Gregg,197,139,23,1247,89,10.75,3,0,65.8
38,Simon Cooper,77,73,8,1235,93,19,4,0,51.94
39,Rory Wade,57,57,16,1231,112,30.02,4,2,69.2
40,Duncan Lane,191,128,54,1214,88,16.41,3,0,46.05
41,Barney Davies,101,88,8,1193,106,14.91,2,1,59.38
42,Frederick Fownes-Walpole,155,112,20,1179,80,12.82,2,0,61.49
43,William Edwards,165,129,22,1176,80,10.99,2,0,44.49
44,David Young,220,135,43,1163,41,12.64,0,0,57.59
45,Robbie Howlett,123,103,16,1154,72,13.26,2,0,56.68
46,Matt Howlett,99,85,19,1144,76,17.33,4,0,41.37
47,Harry Keay,76,69,19,1119,84,22.38,6,0,69.13
48,S Subesh,38,36,5,1076,135,34.71,6,2,93.41
49,Andy Walker,91,82,9,1069,64,14.64,3,0,48.72
50,Chris Stone,84,75,6,1066,109,15.45,1,1,58.99
51,Andrew Miller,71,58,7,1051,75,20.61,5,0,65.22
52,Dan Douthwaite,32,32,1,1028,102,33.16,8,1,78.14
53,Joe Ikuta,90,68,14,846,84,15.67,1,0,56.52
54,Dale Godfrey,69,52,13,806,60,20.67,3,0,69.68
55,Henry Smith,70,58,9,789,63,16.1,3,0,92
56,Jordan Rollins,23,23,2,770,91,36.67,9,0,79.94
57,Kunal Jogia,30,30,2,767,101,27.39,5,1,81.24
58,Parth Shah,25,23,8,755,93,50.33,6,0,70.95
59,Cameron Homewood,194,122,34,743,57,8.44,1,0,69.34
60,Jack Homewood,199,131,49,742,54,9.05,1,0,39.9
61,Dave Brook,42,36,5,719,74,23.19,5,0,57.5
62,Lucas Cooper,59,56,11,706,40,15.69,0,0,95.75
63,Daniel Asiedu,79,69,10,695,42,11.78,0,0,81.59
64,Nigel Pestifield,51,40,4,680,58,18.89,3,0,68.87
65,Cameron Pitt,37,32,2,679,108,22.63,3,1,69.29
66,Robert Jones,74,60,6,674,106,12.48,1,1,81.4
67,Steve Spooner,61,54,4,673,59,13.46,3,0,48.29
68,Ed Phillips,66,54,9,660,43,14.67,0,0,92.38
69,Mike Knott,95,81,10,659,50,9.28,1,0,51.82
70,Oliver Charles,39,37,1,637,62,17.69,4,0,75.97
71,Tharindu Karunaratne,32,30,1,633,86,21.83,2,0,46.67
72,M Croydon,19,19,4,627,102,41.8,3,1,42.86
73,Scott Minihane,72,62,9,626,46,11.81,0,0,52.24
74,Jamie Keay,118,91,22,624,33,9.04,0,0,34.97
75,D Barclay,12,12,4,615,144,76.88,2,2,118.37
76,Malcolm Burt,53,50,4,587,53,12.76,1,0,29.37
77,Nick Chadwick,46,38,4,565,64,16.62,1,0,10
78,Roy Ridgway,33,30,4,564,83,21.69,1,0,52.03
79,Colin Burns,69,62,7,548,36,9.96,0,0,32.11
80,Toby De La Hoyde,39,34,14,536,51,26.8,1,0,110.94
81,Ross Osborne,84,53,12,536,70,13.07,2,0,60
82,Rob Wycherley,37,29,3,526,76,20.23,2,0,48.79
83,Mark Ridgway,33,31,5,524,81,20.15,3,0,35.93
84,Dan Jordan,34,30,3,520,58,19.26,4,0,85.1
85,Kit Shepperd,60,48,11,518,54,14,2,0,34.38
86,Andrew Elliott,133,86,19,512,43,7.64,0,0,26
87,Thomas Sullivan,27,26,1,511,73,20.44,2,0,67.05
88,Charlie Davies,46,36,12,497,85,20.71,1,0,73.02
89,Henry Glynn,33,30,7,477,79,20.74,3,0,60.13
90,Dan Chave,45,36,8,466,54,16.64,1,0,63.68
91,Nick Haste,31,25,3,459,70,20.86,2,0,57
92,Matt Clarke,17,15,3,455,77,37.92,4,0,66.67
93,Liam Costello,71,46,9,454,54,12.27,2,0,68
94,Fred Higley,37,35,8,453,80,16.78,3,0,66.16
95,Travis Blood,124,72,27,450,45,10,0,0,62.08
96,Raich Hudson,45,37,6,446,46,14.39,0,0,40.74
97,Samuel Alexander,40,33,11,442,51,20.09,1,0,105.54
98,Niall Harris,44,40,4,442,48,12.28,0,0,51.15
99,Toby Mayall,33,28,11,437,50,25.71,2,0,74.09
100,Oliver Mayer,39,32,12,431,50,21.55,1,0,93.91
101,Ben Wraight,21,19,2,417,135,24.53,1,1,105.43
102,Jim Ovens,13,12,1,417,87,37.91,5,0,-
103,Ross Kinsey,42,32,6,404,79,15.54,1,0,64.45
104,Luke Trimming,18,18,2,400,67,25,1,0,50.25
105,Mark Edsall,23,21,1,399,59,19.95,2,0,32.69
106,J Davies,15,14,0,383,84,27.36,2,0,41.91
107,J Jones,18,17,6,380,65,34.55,1,0,20
108,Tom Hornung,26,24,4,376,52,18.8,2,0,118
109,Henry Cameron,21,18,2,371,101,23.19,2,1,47.16
110,Nigel Pestifield,27,26,1,342,56,13.68,1,0,60.26
111,Alister Cox,49,26,5,339,43,16.14,0,0,110.64
112,Andrew Pead,59,43,13,337,40,11.23,0,0,85.23
113,James O'Brien,87,57,15,334,37,7.95,0,0,68.64
114,Alistair Wise,24,22,3,331,40,17.42,0,0,109.68
115,Tharinda Perera,19,17,2,330,69,22,1,0,80.97
116,Tom O'Brien,53,34,4,327,47,10.9,0,0,46.67
117,Hugh Cannon,15,13,1,316,58,26.33,1,0,86.67
118,Shaun Cockburn,40,35,4,312,32,10.06,0,0,88.14
119,Tom Bridge,11,9,4,308,68,61.6,4,0,103.57
120,Peter Horton,11,10,2,300,68,37.5,3,0,69.14
121,Callum Powell,37,33,6,295,31,10.93,0,0,71.99
122,Freddie Baker,32,23,4,293,36,15.42,0,0,81.25
123,Adrian Webster,18,15,5,287,50,28.7,1,0,103.64
124,Richard Warne,11,9,1,277,114,34.63,0,1,92.31
125,Graham Penny,9,9,1,276,90,34.5,2,0,-
126,Chris Weill,53,40,11,273,32,9.41,0,0,48.39
127,Cameron Booth,34,31,5,273,32,10.5,0,0,48.97
128,Tom Chave,26,20,3,272,114,16,0,1,67.72
129,Dan Humphreys,11,11,2,270,92,30,2,0,146.05
130,Murray Yabsley,19,18,2,270,71,16.88,1,0,58.74
131,Kamau Leverock,15,13,2,261,95,23.73,1,0,94.74
132,J A Hanrahan,14,13,2,256,68,23.27,2,0,47.06
133,T Wymer,31,24,7,255,65,15,1,0,65.38
134,Advait Barhate,17,15,5,254,53,25.4,1,0,85.45
135,Matthew Sadd,22,21,2,254,39,13.37,0,0,38.5
136,Varun Sethi,33,26,10,252,32,15.75,0,0,74.7
137,Oliver Wells,15,14,3,250,41,22.73,0,0,160.92
138,David Charles,14,13,3,245,74,24.5,1,0,-
139,Jamie Harris,79,50,13,240,58,6.49,1,0,16.44
140,Tom Lister,18,17,0,237,43,13.94,0,0,53.27
141,P Cheeseman,12,9,2,235,66,33.57,2,0,-
142,Advait Barhate,20,19,6,234,33,18,0,0,73.4
143,Louie Lemon,25,20,6,232,34,16.57,0,0,85.16
144,Andrew Culton,34,26,6,230,39,11.5,0,0,13.33
145,K Corbett,53,40,9,226,33,7.29,0,0,48.54
146,Jack Myers,20,12,3,224,62,24.89,2,0,76.47
147,Jack Street,44,35,7,221,34,7.89,0,0,75.52
148,Will Phillips,80,41,9,217,28,6.78,0,0,68
149,Josh Shrives,209,81,33,216,26,4.5,0,0,29.17
150,- Howe,12,12,0,214,64,17.83,2,0,-
151,Stewart Homewood,25,21,0,212,64,10.1,2,0,7.14
152,A Dunning,5,5,2,210,80,70,3,0,93.1
153,Archie King,14,14,2,209,70,17.42,2,0,59.74
154,Sam Wheeler,28,22,3,205,35,10.79,0,0,179.37
155,Paul Castellini,23,19,4,202,32,13.47,0,0,29.17
156,Toby Graham,27,19,3,202,52,12.63,1,0,53.33
157,Peter Turnbull,7,7,1,202,51,33.67,2,0,-
158,Graeme Owton,7,7,0,202,57,28.86,1,0,78.18
159,Isaac Daniels,30,23,6,199,41,11.71,0,0,100.56
160,Dennis Rapson,35,21,6,197,44,13.13,0,0,100
161,Max Dymond,11,11,3,197,41,24.63,0,0,98.94
162,Sebastian Fleming-Smith,24,21,4,194,35,11.41,0,0,75.77
163,Henry Smith,16,16,1,194,47,12.93,0,0,75.76
164,Sean Van Duiker,20,17,4,193,53,14.85,1,0,56.18
165,Colin Knott,13,12,4,188,29,23.5,0,0,52.5
166,Andy Imms,129,74,36,187,22,4.92,0,0,39.47
167,Thomas Dennis,20,18,5,184,34,14.15,0,0,45.92
168,Lucas Green,27,16,6,183,33,18.3,0,0,67.26
169,Andrew McRae,11,11,0,183,60,16.64,1,0,47.02
170,Sandy Kington,11,10,4,177,75,29.5,1,0,-
171,R Webber,3,3,0,170,64,56.67,3,0,-
172,Scott Booth,28,21,3,169,32,9.39,0,0,47.92
173,Gregory Furnell,20,16,3,169,45,13,0,0,40
174,Dan Killick,31,17,6,166,26,15.09,0,0,24.26
175,Richard Lanyon,5,4,1,166,69,55.33,2,0,147.06
176,Joe Cranfield,15,14,4,163,40,16.3,0,0,80
177,P Stevenson,10,10,2,163,49,20.38,0,0,59.18
178,a- Dunmall,18,13,3,161,45,16.1,0,0,27.86
179,Malin Wade,29,21,7,160,19,11.43,0,0,132.43
180,Zac Smith,51,29,10,159,29,8.37,0,0,26.79
181,P Kimber,8,7,1,158,41,26.33,0,0,-
182,Duncan Lane,18,14,4,157,44,15.7,0,0,0
183,J Morgan,12,11,2,157,40,17.44,0,0,-
184,Greg Townes,13,12,0,157,41,13.08,0,0,0
185,T Dunmall,7,6,3,154,82,51.33,1,0,-
186,R Ridgeway,7,6,3,153,51,51,1,0,77.78
187,E- Meadows,5,4,0,149,69,37.25,1,0,-
188,Mattias Brinker,21,17,3,146,31,10.43,0,0,64.04
189,C- Jones,5,5,2,146,55,48.67,1,0,-
190,O Mathias,4,4,0,146,111,36.5,0,1,-
191,Simon Shaw,13,12,0,145,44,12.08,0,0,-
192,D- Rattenbury,11,11,0,144,60,13.09,1,0,-
193,Ash Daniel,8,8,2,143,33,23.83,0,0,68.16
194,Oliver Belam,28,23,3,140,27,7,0,0,44.87
195,Jamie King,12,11,0,139,62,12.64,1,0,40.58
196,Hugh Cameron-Jenkins,29,21,7,134,21,9.57,0,0,71.53
197,Jonah Ducker,24,22,2,133,27,6.65,0,0,79.37
198,Amir Saddiqui,14,13,1,132,21,11,0,0,-
199,- Edwards,4,3,1,132,61,66,2,0,-
200,G Penny,4,4,0,131,82,32.75,1,0,-
